sport,athletes,events
Athletics,2068,48
Aquatics,1567,49
Rowing,526,14
Football,504,2
Cycling,486,22
Judo,393,15
Hockey,384,2
Volleyball,384,4
Shooting,360,15
Basketball,352,4
Sailing,350,10
Canoeing,350,16
Handball,336,2
Gymnastics,320,18
Wrestling,289,18
Boxing,289,13
Rugby Sevens,288,2
Fencing,212,12
Equestrian,200,6
Weightlifting,196,14
Tennis,191,5
Table Tennis,173,5
Badminton,172,5
Baseball/Softball,144,2
Taekwondo,130,8
Archery,128,5
Golf,120,2
Triathlon,110,3
Karate,82,8
Skateboarding,80,4
Sport Climbing,40,2
Surfing,40,2
Modern Pentathlon,36,2
